iter	Passed	Remaining
0	1	231
1	2	212
2	4	206
3	5	200
4	6	198
5	8	195
6	9	193
7	10	189
8	12	188
9	13	186
10	14	184
11	15	182
12	17	180
13	18	178
14	19	177
15	21	176
16	22	174
17	23	173
18	25	172
19	26	171
20	27	167
21	28	167
22	30	167
23	31	166
24	33	166
25	34	164
26	35	163
27	37	161
28	38	159
29	39	158
30	40	156
31	41	154
32	43	152
33	44	150
34	45	148
35	46	147
36	47	146
37	49	144
38	50	143
39	51	142
40	52	140
41	54	139
42	55	138
43	56	137
44	58	135
45	59	134
46	60	132
47	61	131
48	63	129
49	64	128
50	65	127
51	67	126
52	68	124
53	69	123
54	70	122
55	71	120
56	73	119
57	74	118
58	75	116
59	77	115
60	78	114
61	79	112
62	80	111
63	81	109
64	82	108
65	84	107
66	85	105
67	86	104
68	87	103
69	89	101
70	90	100
71	91	99
72	92	97
73	94	96
74	95	95
75	96	93
76	97	92
77	98	91
78	100	89
79	101	88
80	102	87
81	104	86
82	105	85
83	106	84
84	108	82
85	109	81
86	110	80
87	112	79
88	113	77
89	114	76
90	116	75
91	117	74
92	118	72
93	119	71
94	120	69
95	122	68
96	123	67
97	125	66
98	126	65
99	128	64
100	129	62
101	131	61
102	133	60
103	134	59
104	135	58
105	137	57
106	138	55
107	140	54
108	142	53
109	143	52
110	144	50
111	146	49
112	147	48
113	148	46
114	149	45
115	151	44
116	152	42
117	153	41
118	154	40
119	155	38
120	157	37
121	158	36
122	159	35
123	161	33
124	162	32
125	163	31
126	164	29
127	165	28
128	167	27
129	168	25
130	169	24
131	170	23
132	171	21
133	173	20
134	174	19
135	175	18
136	177	16
137	178	15
138	179	14
139	181	12
140	182	11
141	184	10
142	186	9
143	187	7
144	189	6
145	190	5
146	191	3
147	193	2
148	194	1
149	196	0
