iter	Passed	Remaining
0	2	303
1	3	268
2	5	247
3	6	235
4	7	225
5	9	218
6	10	218
7	12	214
8	13	210
9	14	207
10	16	207
11	17	205
12	19	202
13	20	201
14	22	198
15	23	197
16	24	195
17	26	193
18	27	192
19	29	190
20	30	185
21	31	183
22	32	181
23	34	182
24	36	181
25	37	179
26	39	177
27	40	176
28	41	174
29	43	173
30	44	172
31	46	171
32	47	170
33	49	168
34	51	167
35	64	205
36	66	202
37	67	199
38	68	195
39	70	193
40	71	190
41	73	188
42	74	185
43	75	182
44	77	180
45	78	177
46	80	175
47	81	172
48	82	170
49	84	168
50	85	166
51	86	163
52	88	161
53	89	159
54	91	157
55	92	155
56	93	153
57	95	151
58	96	149
59	98	147
60	99	145
61	100	143
62	102	141
63	103	139
64	104	137
65	106	135
66	107	133
67	109	131
68	110	129
69	111	127
70	113	125
71	114	123
72	115	122
73	117	120
74	118	118
75	120	116
76	121	115
77	123	114
78	125	112
79	127	111
80	128	109
81	129	107
82	131	106
83	133	104
84	134	102
85	144	107
86	146	105
87	147	103
88	148	102
89	150	100
90	151	98
91	153	96
92	154	94
93	155	92
94	156	90
95	158	89
96	159	87
97	161	85
98	162	83
99	164	82
100	165	80
101	166	78
102	168	76
103	169	74
104	170	73
105	172	71
106	173	69
107	174	68
108	176	66
109	177	64
110	179	62
111	180	61
112	181	59
113	183	57
114	184	56
115	186	54
116	187	52
117	188	51
118	190	49
119	191	47
120	193	46
121	194	44
122	195	42
123	197	41
124	198	39
125	202	38
126	203	36
127	205	35
128	206	33
129	208	32
130	209	30
131	211	28
132	212	27
133	213	25
134	215	23
135	216	22
136	218	20
137	219	19
138	222	17
139	223	15
140	225	14
141	226	12
142	227	11
143	229	9
144	230	7
145	232	6
146	233	4
147	234	3
148	236	1
149	237	0
