iter	Passed	Remaining
0	1	150
1	2	137
2	4	133
3	5	136
4	6	130
5	8	125
6	9	123
7	10	122
8	11	120
9	13	117
10	13	112
11	15	111
12	16	111
13	18	111
14	20	116
15	21	114
16	23	113
17	24	111
18	25	109
19	27	108
20	28	106
21	29	105
22	30	103
23	32	103
24	33	101
25	35	100
26	36	98
27	37	97
28	39	95
29	40	95
30	42	94
31	44	93
32	45	92
33	46	90
34	48	89
35	49	88
36	50	86
37	52	84
38	53	83
39	54	81
40	56	80
41	57	79
42	58	77
43	59	75
44	60	74
45	62	73
46	63	71
47	64	70
48	65	68
49	66	66
50	68	65
51	70	64
52	72	63
53	73	62
54	75	61
55	77	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	54
61	86	53
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	95	44
68	96	43
69	98	42
70	100	40
71	101	39
72	103	38
73	104	36
74	105	35
75	106	33
76	108	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	119	19
86	120	18
87	121	16
88	123	15
89	124	13
90	126	12
91	127	11
92	128	9
93	129	8
94	131	6
95	132	5
96	134	4
97	136	2
98	137	1
99	138	0
